"pathway","NES","pval","padj"
"HALLMARK_E2F_TARGETS",1.67784241332238,0.000101194090265129,0.00505970451325643
"HALLMARK_MYC_TARGETS_V1",1.5336545226632,0.000202388180530257,0.00505970451325643
"HALLMARK_ADIPOGENESIS",-2.19251841278762,0.00775193798449612,0.0208333333333333
"HALLMARK_ALLOGRAFT_REJECTION",-1.51274913910998,0.0075187969924812,0.0208333333333333
"HALLMARK_ANDROGEN_RESPONSE",-1.50463092040411,0.00367647058823529,0.0208333333333333
"HALLMARK_BILE_ACID_METABOLISM",-2.00993998658693,0.00214592274678112,0.0208333333333333
"HALLMARK_COMPLEMENT",-1.43062661898396,0.00833333333333333,0.0208333333333333
"HALLMARK_FATTY_ACID_METABOLISM",-1.79148481563394,0.00421940928270042,0.0208333333333333
"HALLMARK_G2M_CHECKPOINT",1.36696898306858,0.00799433313094515,0.0208333333333333
"HALLMARK_HEME_METABOLISM",-1.58015150862288,0.00709219858156028,0.0208333333333333
