"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015837","amine transport","50/4952","93/16325",0.537634408602151,1.77239130057151,4.92900118349306,2.03507485373065e-06,0.00020832382919356,0.000176980106139348,"SLC7A5/AQP8/OXTR/P2RY1/ATP1A2/PINK1/CXCL12/TACR2/SLC17A8/STX1A/ADORA3/KCNB1/FLVCR2/CHGA/PRKCB/CNR1/SLC12A2/FGF20/TH/GDNF/RGS2/SDHD/RHCG/SLC43A1/DRD2/AQP9/ADRA2A/SNCG/CHRNA3/GRM2/PRKN/SNCA/SLC38A3/SYT4/STXBP1/SYT11/SLC18A2/SLC6A1/ADRA2C/PRKG1/CHRNA6/SLC18A3/CARTPT/SLC22A2/NPY5R/LEP/OXT/KCNA2/CHRFAM7A/NTSR1",50
"GO:0090596","sensory organ morphogenesis","120/4952","276/16325",0.434782608695652,1.43332513872305,4.79082744389409,2.25082300655149e-06,0.000226632047643266,0.000192533729827018,"WNT2/COL11A1/OTX1/STRA6/CTHRC1/FJX1/GRHL3/CITED2/MSX1/SOX9/SOX4/RPGRIP1L/BCAR3/NTN1/RP1/ITGA8/VEGFA/FOXF2/TSHZ1/PLS1/MFAP2/PPP2R3A/SIX1/TFAP2A/GBX2/LARGE1/AQP5/NKD1/BMP7/SLC44A4/PTK7/THRB/SIX4/SLC1A1/FGFR2/TH/BMP4/PROX1/EDNRA/NHERF1/CHD7/SOX1/NKX3-2/FZD3/COL5A2/MAPK3/TWIST1/MFAP5/ATP8A2/DLX6/BCL2/LHFPL5/MEIS1/OSR1/SOX12/CALB1/WNT5A/SPARC/THY1/COL5A1/ZEB1/WNT2B/CDON/SIX2/FGF10/EYA1/WNT9A/PTF1A/COL8A1/GNGT1/TIFAB/HPN/SIX3/TMIE/MEGF11/PRRX1/FGF8/NECTIN3/FGFR1/MYO7A/GSC/EFEMP1/CDH23/NDP/OLFM3/HCN1/CYP26B1/GLI3/DLX5/MYO3B/FGF2/LHX1/GNAT2/GJB6/SOBP/FOXL2/AQP1/PAX2/POU3F4/SDK1/HOXC13/STOX1/FOXG1/FGF9/TBX18/WNT3A/RBP4/ATOH1/TMEM215/WNT1/TCAP/CRB1/PAX6/HMX2/RORB/USH1G/ATP6V1B1/SAMD7/OTOP1/RS1",120
"GO:0019731","antibacterial humoral response","41/4952","72/16325",0.569444444444444,1.87725778585532,4.92258023257052,2.40358455972711e-06,0.00023810994138458,0.00020228469715734,"MMP7/KLK7/ELANE/LGALS4/PGC/JCHAIN/FGB/VIP/FGA/SPRR2A/EVPL/IGHA2/CTSG/NPY/B2M/CALCA/WFDC10A/WFDC10B/IGHA1/IGKV3-20/NOD2/H2BC10/SPON2/DEFB1/SPINK5/IGHG1/IGHG3/SEMG1/KLK5/WFDC3/SEMG2/IGHM/IGHG4/WFDC13/H2BC7/CAMP/RNASE7/LTF/BPI/H2BC11/IGHE",41
"GO:0023061","signal release","193/4952","482/16325",0.400414937759336,1.32002703128456,4.70606110965963,2.68287453902967e-06,0.000261558974900322,0.000222205665663661,"INHBA/PDX1/TMEM132A/GNA11/IL11/SOX4/RAP1A/PCSK5/OXTR/CPT1A/VSNL1/P2RY1/GNAO1/PINK1/NMB/TFR2/KCNA5/CXCL12/TACR2/SPP1/EDN3/P2RX1/ECRG4/SRI/F2RL1/P2RX4/ADCY5/STX1A/LIF/ADORA3/SFRP1/KISS1/KCNB1/CHGA/UCN/GRIK5/PRKCB/FGB/VIP/SLC44A4/IL1A/SSTR5/PASK/FGA/SIDT2/CNR1/ASIC1/P2RY4/NR1H4/NRXN1/CRHBP/PRKCG/FGF20/VAMP2/AGTR1/ABCA12/PLA2G3/PPARD/FOXA2/AGT/GPER1/SMPD3/SYT7/CHD7/EDNRB/BRSK2/BMP6/F2/MAOB/MIF/GDNF/CASR/MEF2C/CADPS/SYP/NLGN1/IL1RN/LTBP4/CPLX1/MAP2K6/RIMS4/KCNK9/F2RL2/VGF/OSM/INHBB/DRD2/TRPM4/RASL10B/BTK/KCNJ11/FOXD1/GALR1/FGG/SYT8/COMT/TRPV4/ADRA2A/SNCG/TNFSF11/RPH3A/CHRNA3/SLC9B2/GPR119/HCRT/GRM2/OR51E2/SLC4A8/PRKN/PLA2G10/SNCA/RAB44/SV2B/CYP19A1/EPHA5/CHRNB4/SYT12/GRP/SYN2/ACVR1C/BLK/SYT4/RIMS3/ABCC8/STXBP1/SNAP25/FGFR1/HCAR2/ITPR1/MAFA/MICU3/GNAZ/SYT11/SLC18A2/SLC30A8/SYT9/C1QTNF12/CCL5/REN/INHA/ADRA2C/TACR1/IL1B/CHRNA6/CAMK2A/FOXL2/AQP1/ADAM8/GPR27/SLC18A3/CARTPT/GCG/FGF23/RETN/ANO1/EFNA5/SYT5/TIAM1/SYN3/FKBP1B/FAM3D/WNT7A/GRM4/SNCAIP/UCN3/TRPV6/RBP4/CD38/TSPOAP1/HTR2C/NEUROD1/NKX6-1/NRXN2/LEP/PTGS2/FFAR4/OXT/KCNA2/GAL/ADCYAP1/CGA/SLC32A1/TUNAR/CHRFAM7A/GNRHR/OPRM1/CCKAR/GHRHR/SLC2A2/UNC13C/ADIPOQ/GPR151/CELA2A",193
"GO:0042471","ear morphogenesis","63/4952","126/16325",0.5,1.6483239095315,4.82058005526687,2.81665163260388e-06,0.000270310536366454,0.000229640495770024,"COL11A1/OTX1/CTHRC1/GRHL3/MSX1/SOX9/NTN1/ITGA8/TSHZ1/PLS1/SIX1/TFAP2A/GBX2/SLC44A4/PTK7/SIX4/FGFR2/PROX1/EDNRA/NHERF1/CHD7/NKX3-2/FZD3/MAPK3/TWIST1/ATP8A2/DLX6/LHFPL5/OSR1/WNT5A/SPARC/ZEB1/SIX2/FGF10/EYA1/TIFAB/HPN/TMIE/PRRX1/FGF8/NECTIN3/FGFR1/MYO7A/GSC/CDH23/DLX5/MYO3B/GJB6/SOBP/PAX2/POU3F4/STOX1/FOXG1/FGF9/TBX18/WNT3A/ATOH1/WNT1/TCAP/HMX2/USH1G/ATP6V1B1/OTOP1",63
"GO:1990806","ligand-gated ion channel signaling pathway","26/4952","39/16325",0.666666666666667,2.19776521270867,4.94154637294455,3.06135852918074e-06,0.000289274832095817,0.00024575148549229,"GRIN2D/GNA11/GRIN2B/PLP1/GRIK3/PTK2B/GRIK5/GRIN3A/NRXN1/ADRB2/GRIA4/F2/MEF2C/F2RL2/HTR3E/HTR3A/ITPR1/HTR3B/GRIN2A/GRIN3B/GRIA3/GRIA1/GRIK2/HTR3C/GRIA2/GRIK1",26
"GO:0003156","regulation of animal organ formation","21/4952","29/16325",0.724137931034483,2.38722773104562,4.93369552629167,3.63821886123732e-06,0.000338574852207874,0.000287633985568635,"WNT2/CITED2/WT1/SHH/SIX1/BMP2/BMP7/BMP4/HOXC11/GDNF/WNT5A/SULF1/WNT2B/DKK1/FGF10/ROBO2/FGF8/FGFR1/AR/FGF2/GATA5",21
"GO:0007204","positive regulation of cytosolic calcium ion concentration","77/4952","163/16325",0.47239263803681,1.55731215992547,4.71857498977551,3.90394813418228e-06,0.000357881334927576,0.000304035677944094,"OXTR/JPH1/P2RY1/NMB/ACKR2/F2RL1/P2RX4/LPAR1/ADCY5/JPH2/KISS1/PTGER4/PTK2B/ADCYAP1R1/GNA13/AVPR1B/JPH4/CAV1/P2RY4/P2RX2/CCL28/AGTR1/BDKRB2/GPER1/EDNRA/CD36/BDKRB1/EDNRB/CYSLTR1/CCR2/CCR8/RIC3/CALCA/PIK3CG/NOS1/BCL2/ADRA1A/CCR10/TRPM4/CX3CR1/SLC8A1/CACNA2D1/GALR1/CMKLR1/TRPV4/HCRT/CXCR5/ADRA1B/CCR9/CD52/TRPC6/CD55/TACR1/PRKG1/GNAT2/JPH3/CCR7/CACNA1C/CXCL13/PTGDR/ACKR4/FKBP1B/KNG1/CD38/SAA1/XCR1/GATA1/FFAR4/OXT/FPR2/ADCYAP1/EPO/OPRM1/CCL1/PROK2/TRPC5/TRPV5",77
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","111/4952","254/16325",0.437007874015748,1.44066105478738,4.6705300312313,3.98719114807871e-06,0.000360137176933815,0.000305952113328578,"GLP2R/HTR1D/GNA11/PDE2A/ADCY9/GRIK3/UCN2/P2RY1/GNAO1/GPR3/ATP2B4/LPAR1/ADCY5/GNG2/PTGDR2/SSTR2/PTGER4/PLN/PRKACB/CHGA/GPR37L1/ADCYAP1R1/VIP/GNA13/ADGRL3/CNR1/AKAP6/FLNA/VIPR1/ADGRB3/ADGRG1/P2RY12/NPY2R/GPR157/ADRB2/GPER1/EDNRA/NHERF1/ADCY2/GNAI1/ADCY3/CASR/RGS2/HTR4/PRKAR2B/CALCA/PTH1R/HTR7/PDE3A/PALM/NOS1/ADRA1A/MC1R/CXCL11/GPR88/TCP11/VIPR2/DRD2/CNR2/GALR1/CACNA1D/SCTR/AKAP5/ADRA2A/GNAL/S1PR1/S1PR5/GPR119/GRM8/GRM2/OR51E2/ITGB3/CHRM4/PDE4D/GPR4/ADRA1B/CHRM2/NPY1R/GPR78/GNAZ/ADRB3/ADGRD1/AKAP12/PF4/GNAT2/ADGRG7/GCG/PSAPL1/OPRD1/GPR171/APLP1/GRM4/ADGRD2/DRD5/UCN3/ADGRG4/MTNR1A/ADRB1/GPR12/FFAR4/FPR2/MC3R/ADCYAP1/OPRM1/CALCB/GHRHR/GPR26/MRAP/GRM1/IAPP/GRM5",111
"GO:0019233","sensory perception of pain","43/4952","78/16325",0.551282051282051,1.81738277204755,4.77476808626894,4.39528940434455e-06,0.000391244456833105,0.000332379093475758,"GRIN2D/TMEM100/MGLL/CXCL12/SCN9A/PRDM12/P2RX4/SCN11A/PIRT/ITGA2/NDN/HOXB8/LXN/ALOXE3/CCR2/MAPK3/CALCA/TMEM120A/MC1R/PHF24/RETREG1/COMT/HOXD1/PNOC/KCNA1/PENK/CCL3/NPY1R/SPX/GRIN2A/AQP1/ASIC3/ANO1/GPR171/TRPA1/MRGPRX2/TAFA4/KCNA2/OPRM1/NTSR1/PROK2/GRM1/IAPP",43
